freq_hz,s11_db,s21_db
2.310000000000000000e+10,-4.257133595053211650e+01,-1.187074886985481359e-01
2.312000000000000000e+10,-4.255390867176529923e+01,-1.186979357485162673e-01
2.314000000000000000e+10,-4.253548908521955951e+01,-1.186884510772943657e-01
2.316000000000000000e+10,-4.251607968668065496e+01,-1.186790364217580607e-01
2.318000000000000000e+10,-4.249568401318015987e+01,-1.186696934924906799e-01
2.320000000000000000e+10,-4.247430663357945235e+01,-1.186604239520848703e-01
2.322000000000000000e+10,-4.245195313529585235e+01,-1.186512293948764341e-01
2.324000000000000000e+10,-4.242863010725951511e+01,-1.186421113288273488e-01
2.326000000000000000e+10,-4.240434511923669447e+01,-1.186330711602455318e-01
2.328000000000000000e+10,-4.237910669774092298e+01,-1.186241101817045313e-01
2.330000000000000000e+10,-4.235292429877073772e+01,-1.186152295636741377e-01
2.332000000000000000e+10,-4.232580827769622545e+01,-1.186064303499498457e-01
2.334000000000000000e+10,-4.229776985662230260e+01,-1.185977134570447566e-01
2.336000000000000000e+10,-4.226882108960073481e+01,-1.185890796773759748e-01
2.338000000000000000e+10,-4.223897482607252840e+01,-1.185805296860587832e-01
2.340000000000000000e+10,-4.220824467292619175e+01,-1.185720640508941687e-01
2.342000000000000000e+10,-4.217664495555374060e+01,-1.185636832450867456e-01
2.344000000000000000e+10,-4.214419067826516141e+01,-1.185553876620682179e-01
2.346000000000000000e+10,-4.211089748440596736e+01,-1.185471776317992137e-01
2.348000000000000000e+10,-4.207678161647044135e+01,-1.185390534377596117e-01
2.350000000000000000e+10,-4.204185987648482836e+01,-1.185310153340575212e-01
2.352000000000000000e+10,-4.200614958686945499e+01,-1.185230635617305628e-01
2.354000000000000000e+10,-4.196966855196073709e+01,-1.185151983637536405e-01
2.356000000000000000e+10,-4.193243502030752268e+01,-1.185074199980621495e-01
2.358000000000000000e+10,-4.189446764782601917e+01,-1.184997287480286932e-01
2.360000000000000000e+10,-4.185578546184473225e+01,-1.184921249301985197e-01
2.362000000000000000e+10,-4.181640782603354012e+01,-1.184846088987352858e-01
2.364000000000000000e+10,-4.177635440619081209e+01,-1.184771810466597047e-01
2.366000000000000000e+10,-4.173564513680977939e+01,-1.184698418037953283e-01
2.368000000000000000e+10,-4.169430018836916219e+01,-1.184625916315630578e-01
2.370000000000000000e+10,-4.165233993524090295e+01,-1.184554310149434075e-01
2.372000000000000000e+10,-4.160978492413948970e+01,-1.184483604519861732e-01
2.374000000000000000e+10,-4.156665584302793803e+01,-1.184413804412906696e-01
2.376000000000000000e+10,-4.152297349041319308e+01,-1.184344914682291389e-01
2.378000000000000000e+10,-4.147875874498022597e+01,-1.184276939902811632e-01
2.380000000000000000e+10,-4.143403253554656374e+01,-1.184209884224154685e-01
2.382000000000000000e+10,-4.138881581132923770e+01,-1.184143751229418118e-01
2.384000000000000000e+10,-4.134312951256725910e+01,-1.184078543806856010e-01
2.386000000000000000e+10,-4.129699454154756921e+01,-1.184014264039270903e-01
2.388000000000000000e+10,-4.125043173413185116e+01,-1.183950913116750270e-01
2.390000000000000000e+10,-4.120346183188635791e+01,-1.183888491276900434e-01
2.392000000000000000e+10,-4.115610545495303541e+01,-1.183826997775848239e-01
2.394000000000000000e+10,-4.110838307580726791e+01,-1.183766430890969834e-01
2.396000000000000000e+10,-4.106031499406110896e+01,-1.183706787956653739e-01
2.398000000000000000e+10,-4.101192131246904182e+01,-1.183648065431531227e-01
2.400000000000000000e+10,-4.096322191430011372e+01,-1.183590258995568523e-01
2.402000000000000000e+10,-4.091423644222003730e+01,-1.183533363672725075e-01
2.404000000000000000e+10,-4.086498427881651452e+01,-1.183477373975319047e-01
2.406000000000000000e+10,-4.081548452888441147e+01,-1.183422284064201413e-01
2.408000000000000000e+10,-4.076575600355178608e+01,-1.183368087918617029e-01
2.410000000000000000e+10,-4.071581720630565826e+01,-1.183314779509729853e-01
2.412000000000000000e+10,-4.066568632094234204e+01,-1.183262352969837589e-01
2.414000000000000000e+10,-4.061538120143610797e+01,-1.183210802751876733e-01
2.416000000000000000e+10,-4.056491936368148288e+01,-1.183160123772155348e-01
2.418000000000000000e+10,-4.051431797903677534e+01,-1.183110311530304742e-01
2.420000000000000000e+10,-4.046359386956584103e+01,-1.183061362202674216e-01
2.422000000000000000e+10,-4.041276350484989166e+01,-1.183013272704197538e-01
2.424000000000000000e+10,-4.036184300021240290e+01,-1.182966040716582207e-01
2.426000000000000000e+10,-4.031084811619444253e+01,-1.182919664681318928e-01
2.428000000000000000e+10,-4.025979425909591214e+01,-1.182874143757575713e-01
2.430000000000000000e+10,-4.020869648239877137e+01,-1.182829477746298319e-01
2.432000000000000000e+10,-4.015756948888557787e+01,-1.182785666982679590e-01
2.434000000000000000e+10,-4.010642763327443561e+01,-1.182742712201597379e-01
2.436000000000000000e+10,-4.005528492520423356e+01,-1.182700614380219339e-01
2.438000000000000000e+10,-4.000415503241402604e+01,-1.182659374563842236e-01
2.440000000000000000e+10,-3.995305128398793926e+01,-1.182618993680744079e-01
2.442000000000000000e+10,-3.990198667356261097e+01,-1.182579472354027827e-01
2.444000000000000000e+10,-3.985097386240506978e+01,-1.182540810715553836e-01
2.446000000000000000e+10,-3.980002518231557218e+01,-1.182503008230337133e-01
2.448000000000000000e+10,-3.974915263832262724e+01,-1.182466063536483092e-01
2.450000000000000000e+10,-3.969836791117121066e+01,-1.182429974307405984e-01
2.452000000000000000e+10,-3.964768235962792886e+01,-1.182394737139862706e-01
2.454000000000000000e+10,-3.959710702264359128e+01,-1.182360347473237761e-01
2.456000000000000000e+10,-3.954665262144323634e+01,-1.182326799540668466e-01
2.458000000000000000e+10,-3.949632956161366337e+01,-1.182294086355430707e-01
2.460000000000000000e+10,-3.944614793528184293e+01,-1.182262199730617080e-01
2.462000000000000000e+10,-3.939611752347251183e+01,-1.182231130332629665e-01
2.464000000000000000e+10,-3.934624779873449540e+01,-1.182200867763687213e-01
2.466000000000000000e+10,-3.929654792813315112e+01,-1.182171400672501482e-01
2.468000000000000000e+10,-3.924702677667509931e+01,-1.182142716885103279e-01
2.470000000000000000e+10,-3.919769291124186594e+01,-1.182114803553224180e-01
2.472000000000000000e+10,-3.914855460507777707e+01,-1.182087647312148604e-01
2.474000000000000000e+10,-3.909961984286194792e+01,-1.182061234442624426e-01
2.476000000000000000e+10,-3.905089632638527775e+01,-1.182035551029506776e-01
2.478000000000000000e+10,-3.900239148081219298e+01,-1.182010583111703095e-01
